world_cup_year,date,stage,home_team,away_team,score_original_home,score_original_away,score_90_home,score_90_away,has_extra_time,has_penalty_shootout,score_corrected,city,country,neutral,verification_source,verification_note
2014,2014-06-12,Group stage,Brazil,Croatia,3,1,3,1,False,False,False,São Paulo,Brazil,False,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-13,Group stage,Chile,Australia,3,1,3,1,False,False,False,Cuiabá,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-13,Group stage,Mexico,Cameroon,1,0,1,0,False,False,False,Natal,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-13,Group stage,Spain,Netherlands,1,5,1,5,False,False,False,Salvador,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-14,Group stage,Colombia,Greece,3,0,3,0,False,False,False,Belo Horizonte,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-14,Group stage,England,Italy,1,2,1,2,False,False,False,Manaus,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-14,Group stage,Ivory Coast,Japan,2,1,2,1,False,False,False,Recife,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-14,Group stage,Uruguay,Costa Rica,1,3,1,3,False,False,False,Fortaleza,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-15,Group stage,Argentina,Bosnia and Herzegovina,2,1,2,1,False,False,False,Rio de Janeiro,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-15,Group stage,France,Honduras,3,0,3,0,False,False,False,Porto Alegre,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-15,Group stage,Switzerland,Ecuador,2,1,2,1,False,False,False,Brasília,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-16,Group stage,Germany,Portugal,4,0,4,0,False,False,False,Salvador,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-16,Group stage,Ghana,United States,1,2,1,2,False,False,False,Natal,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-16,Group stage,Iran,Nigeria,0,0,0,0,False,False,False,Curitiba,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-17,Group stage,Belgium,Algeria,2,1,2,1,False,False,False,Belo Horizonte,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-17,Group stage,Brazil,Mexico,0,0,0,0,False,False,False,Fortaleza,Brazil,False,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-17,Group stage,Russia,South Korea,1,1,1,1,False,False,False,Cuiabá,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-18,Group stage,Australia,Netherlands,2,3,2,3,False,False,False,Curitiba,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-18,Group stage,Cameroon,Croatia,0,4,0,4,False,False,False,Manaus,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-18,Group stage,Spain,Chile,0,2,0,2,False,False,False,Rio de Janeiro,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-19,Group stage,Colombia,Ivory Coast,2,1,2,1,False,False,False,Brasília,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-19,Group stage,Japan,Greece,0,0,0,0,False,False,False,Natal,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-19,Group stage,Uruguay,England,2,1,2,1,False,False,False,São Paulo,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-20,Group stage,Honduras,Ecuador,1,2,1,2,False,False,False,Curitiba,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-20,Group stage,Italy,Costa Rica,0,1,0,1,False,False,False,Recife,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-20,Group stage,Switzerland,France,2,5,2,5,False,False,False,Salvador,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-21,Group stage,Argentina,Iran,1,0,1,0,False,False,False,Belo Horizonte,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-21,Group stage,Germany,Ghana,2,2,2,2,False,False,False,Fortaleza,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-21,Group stage,Nigeria,Bosnia and Herzegovina,1,0,1,0,False,False,False,Cuiabá,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-22,Group stage,Belgium,Russia,1,0,1,0,False,False,False,Rio de Janeiro,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-22,Group stage,South Korea,Algeria,2,4,2,4,False,False,False,Porto Alegre,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-22,Group stage,United States,Portugal,2,2,2,2,False,False,False,Manaus,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-23,Group stage,Australia,Spain,0,3,0,3,False,False,False,Curitiba,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-23,Group stage,Brazil,Cameroon,4,1,4,1,False,False,False,Brasília,Brazil,False,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-23,Group stage,Croatia,Mexico,1,3,1,3,False,False,False,Recife,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-23,Group stage,Netherlands,Chile,2,0,2,0,False,False,False,São Paulo,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-24,Group stage,Costa Rica,England,0,0,0,0,False,False,False,Belo Horizonte,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
