matchday,date,group,team_a,team_b,ground,host_a,host_b,lambda_a,lambda_b,p_a,p_draw,p_b,modal_score
1,2026-06-11,A,Mexico,South Africa,Mexico City,True,False,1.8178297963020975,0.6759400273464234,0.6441465818216832,0.22661009507188432,0.12924332310643266,1-0
1,2026-06-11,A,South Korea,Czech Republic,Guadalajara (Zapopan),False,False,1.1655478457675852,0.9533311727445525,0.40188088398757954,0.3045303705315592,0.29358874548086134,1-1
8,2026-06-18,A,Czech Republic,South Africa,Atlanta,False,False,1.2253588062969638,0.8567098843686983,0.44291245216980457,0.3028419600718429,0.2542455877583529,1-0
8,2026-06-18,A,Mexico,South Korea,Guadalajara (Zapopan),True,False,1.4142745803539614,0.9196117111713481,0.48071845768187815,0.278730685456163,0.2405508568619587,1-0
14,2026-06-24,A,Czech Republic,Mexico,Mexico City,False,True,0.8895036393109589,1.6724890514143234,0.19518671774380902,0.24997952515789618,0.5548337570982947,0-1
14,2026-06-24,A,South Africa,South Korea,Monterrey (Guadalupe),False,False,0.7244430157411405,1.266834961496653,0.20876271320759537,0.3019593707999722,0.48927791599243253,0-1
2,2026-06-12,B,Canada,Bosnia and Herzegovina,Toronto,True,False,1.7470253257739994,0.668300584277578,0.6302224770194016,0.23526449580469558,0.134513027175903,1-0
3,2026-06-13,B,Qatar,Switzerland,San Francisco Bay Area (Santa Clara),False,False,0.6362232604753092,2.755078528234957,0.05906942411190198,0.12834708014574972,0.8125834957423483,0-2
8,2026-06-18,B,Switzerland,Bosnia and Herzegovina,Los Angeles (Inglewood),False,False,1.8498816209167572,0.6789150807242852,0.6503913604374747,0.22277975440540987,0.12682888515711527,1-0
8,2026-06-18,B,Canada,Qatar,Vancouver,True,False,2.6018918772420276,0.626276229205326,0.7946680986724539,0.14027907240367427,0.0650528289238717,2-0
14,2026-06-24,B,Switzerland,Canada,Vancouver,False,True,1.1166025111433822,1.0712663870796921,0.3609047260797981,0.3010633038816047,0.33803197003859714,1-1
14,2026-06-24,B,Bosnia and Herzegovina,Qatar,Seattle,False,False,1.6489489964200892,1.0375553291902064,0.5126001886939513,0.2527980507772657,0.23460176052878307,1-1
3,2026-06-13,C,Brazil,Morocco,New York/New Jersey (East Rutherford),False,False,1.0831473017104192,0.7223117833627547,0.4333443231187497,0.3289871594455526,0.23766851743569778,1-0
3,2026-06-13,C,Haiti,Scotland,Boston (Foxborough),False,False,0.8007964529008722,2.1188435009059488,0.1267026282203625,0.1986141652509622,0.6746832065286754,0-2
9,2026-06-19,C,Scotland,Morocco,Boston (Foxborough),False,False,0.6176131857830728,1.3870722246945362,0.16195924132997183,0.28493723989714226,0.5531035187728858,0-1
9,2026-06-19,C,Brazil,Haiti,Philadelphia,False,False,3.7159498430123015,0.41701124404879425,0.9298811765152311,0.05475171001398174,0.015367113470787098,3-0
14,2026-06-24,C,Scotland,Brazil,Miami (Miami Gardens),False,False,0.6565909637618454,2.2112621888643695,0.09294952037141374,0.1801060275075201,0.7269444521210662,0-2
14,2026-06-24,C,Morocco,Haiti,Atlanta,False,False,2.330927034142187,0.3922558444434453,0.8098151126210692,0.14498069189809604,0.045204195480834736,2-0
2,2026-06-12,D,United States,Paraguay,Los Angeles (Inglewood),True,False,1.1516592643370327,0.9504508136162955,0.3984275701443868,0.306181989286807,0.29539044056880653,1-1
3,2026-06-13,D,Australia,Turkey,Vancouver,False,False,1.1547256270452178,1.19712235038518,0.3453318014268142,0.28859277040988784,0.3660754281632978,1-1
9,2026-06-19,D,United States,Australia,Seattle,True,False,1.4462939127002403,1.134767780286551,0.43819057889963653,0.2694357269982945,0.2923736941020691,1-1
9,2026-06-19,D,Turkey,Paraguay,San Francisco Bay Area (Santa Clara),False,False,0.9532481836918035,0.9671669664885721,0.3337350045068066,0.32511781834911124,0.34114717714408216,0-0
15,2026-06-25,D,Turkey,United States,Los Angeles (Inglewood),False,True,1.4341908133455157,1.7631804567920002,0.31101042426578923,0.2379932045218104,0.45099637121240027,1-1
15,2026-06-25,D,Paraguay,Australia,San Francisco Bay Area (Santa Clara),False,False,0.793343466806696,0.7542338964972402,0.32690480557218066,0.368857595071013,0.3042375993568065,0-0
4,2026-06-14,E,Germany,Curaçao,Houston,False,False,3.0760125211534266,0.5506588118968312,0.863931719948857,0.09816964615839399,0.037898633892748994,3-0
4,2026-06-14,E,Ivory Coast,Ecuador,Philadelphia,False,False,0.5099780482040919,0.8179404017749066,0.20862845415950185,0.3949735863555071,0.39639795948499096,0-0
10,2026-06-20,E,Germany,Ivory Coast,Toronto,False,False,1.3644577885348144,0.7791842542369235,0.5028205356114979,0.2874212637623376,0.20975820062616446,1-0
10,2026-06-20,E,Ecuador,Curaçao,Kansas City,False,False,1.84395218273378,0.3604075731645126,0.7362642101911858,0.20163516954797622,0.06210062026083811,1-0
15,2026-06-25,E,Curaçao,Ivory Coast,Philadelphia,False,False,0.4953450678503151,1.5801321579857572,0.10994932187335277,0.25121193471862974,0.6388387434080176,0-1
15,2026-06-25,E,Ecuador,Germany,New York/New Jersey (East Rutherford),False,False,0.9092774291635664,0.992764341805967,0.31441271501512796,0.3265567097689664,0.3590305752159058,0-0
4,2026-06-14,F,Netherlands,Japan,Dallas (Arlington),False,False,0.9615848951214422,0.9419960579553346,0.34183820517834207,0.32679247720034765,0.3313693176213102,0-0
4,2026-06-14,F,Sweden,Tunisia,Monterrey (Guadalupe),False,False,0.8624170233716419,0.972391788227737,0.3035877549817407,0.3332081130077039,0.3632041320105554,0-0
10,2026-06-20,F,Netherlands,Sweden,Houston,False,False,1.8615985611153332,0.8772840304561803,0.6020763519200991,0.2290103974462196,0.1689132506336812,1-0
10,2026-06-20,F,Tunisia,Japan,Monterrey (Guadalupe),False,False,0.5022765247195476,0.9260324001420869,0.18862995376571196,0.3722446427553682,0.4391254034789199,0-0
15,2026-06-25,F,Japan,Sweden,Dallas (Arlington),False,False,1.4500970659640955,0.6975732372683968,0.5482215435530883,0.27612712089021885,0.17565133555669288,1-0
15,2026-06-25,F,Tunisia,Netherlands,Kansas City,False,False,0.6316744256631347,1.1888173723767614,0.19259593650987022,0.316436769893567,0.4909672935965628,0-1
5,2026-06-15,G,Belgium,Egypt,Seattle,False,False,1.1033203994082832,0.7078248027733371,0.44357161996261396,0.32677293925574535,0.22965544078164077,1-0
